14,4,Index_36,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site36_X_277_Y_77_1981_2021.csv
16,4,Index_37,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site37_X_304_Y_77_1981_2021.csv
17,4,Index_38,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site38_X_330_Y_77_1981_2021.csv
0,5,Index_39,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site39_X_10_Y_104_1981_2021.csv
1,5,Index_40,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site40_X_37_Y_104_1981_2021.csv
3,5,Index_41,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site41_X_64_Y_104_1981_2021.csv
4,5,Index_42,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site42_X_90_Y_104_1981_2021.csv
6,5,Index_43,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site43_X_117_Y_104_1981_2021.csv
7,5,Index_44,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site44_X_144_Y_104_1981_2021.csv
8,5,Index_45,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site45_X_170_Y_104_1981_2021.csv
10,5,Index_46,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site46_X_197_Y_104_1981_2021.csv
11,5,Index_47,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site47_X_224_Y_104_1981_2021.csv
13,5,Index_48,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site48_X_250_Y_104_1981_2021.csv
14,5,Index_49,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site49_X_277_Y_104_1981_2021.csv
16,5,Index_50,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site50_X_304_Y_104_1981_2021.csv
17,5,Index_51,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site51_X_330_Y_104_1981_2021.csv
0,6,Index_52,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site52_X_10_Y_130_1981_2021.csv
1,6,Index_53,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site53_X_37_Y_130_1981_2021.csv
3,6,Index_54,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site54_X_64_Y_130_1981_2021.csv
4,6,Index_55,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site55_X_90_Y_130_1981_2021.csv
