Value,Original (%),Resampled (%)
5,2.86,6.977
6,2.033,2.907
7,3.588,12.791
8,0.497,0.0
9,0.286,0.0
11,0.508,1.163
21,6.535,0.0
22,6.834,2.907
23,0.758,2.326
24,0.069,0.0
31,0.063,0.0
42,58.134,55.814
43,4.326,1.744
52,4.903,5.814
71,2.313,2.326
81,0.291,0.581
90,6.002,4.651
